1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 80, 4, 4
1992, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
1993, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1994, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
1995, ocean, minecraft:lukewarm_ocean, MONSTER, minecraft:drowned, 10, 1, 1
1996, ocean, minecraft:lukewarm_ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
1997, ocean, minecraft:lukewarm_ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
1998, ocean, minecraft:lukewarm_ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
1999, ocean, minecraft:lukewarm_ocean, MONSTER, quark:toretoise, 80, 1, 1
2000, ocean, minecraft:lukewarm_ocean, MONSTER, quark:stoneling, 80, 1, 1
2001, ocean, minecraft:lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
2002, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 2
2003, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
2004, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2005, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2006, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
2007, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
2008, ocean, minecraft:lukewarm_ocean, WATER_CREATURE, betteranimalsplus:octopus, 10, 1, 3
2009, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
2010, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 10, 1, 3
2011, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
2012, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
2013, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
2014, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
2015, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
2016, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
2017, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
2018, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
2019, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
2020, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:eel_saltwater, 10, 1, 3
2021, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:barracuda, 10, 1, 1
2022, ocean, minecraft:lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:flying_fish, 10, 1, 5
2023, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
2024, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
2025, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
2026, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
2027, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
2028, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
2029, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 5, 1, 4
2030, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
2031, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 10, 1, 1
2032, ocean, minecraft:cold_ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
2033, ocean, minecraft:cold_ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
2034, ocean, minecraft:cold_ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
2035, ocean, minecraft:cold_ocean, MONSTER, quark:toretoise, 80, 1, 1
2036, ocean, minecraft:cold_ocean, MONSTER, quark:stoneling, 80, 1, 1
2037, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
2038, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
2039, ocean, minecraft:cold_ocean, WATER_CREATURE, alexsmobs:orca, 10, 3, 4
2040, ocean, minecraft:cold_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2041, ocean, minecraft:cold_ocean, WATER_CREATURE, alexsmobs:orca, 10, 3, 4
2042, ocean, minecraft:cold_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2043, ocean, minecraft:cold_ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
2044, ocean, minecraft:cold_ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
2045, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
2046, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
2047, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
2048, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_cod, 10, 1, 1
2049, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:rainbow_trout, 10, 1, 2
2050, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:pink_salmon, 10, 1, 2
2051, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:pollock, 10, 1, 2
2052, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
2053, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:pacific_halibut, 10, 1, 1
2054, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
2055, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:blackfish, 13, 1, 4
2056, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
2057, ocean, minecraft:cold_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
2058, ocean, minecraft:cold_ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
2059, ocean, minecraft:cold_ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
2060, ocean, minecraft:cold_ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
2061, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:spider, 80, 4, 4
2062, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
2063, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
2064, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
2065, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
2066, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:slime, 80, 4, 4
2067, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:enderman, 5, 1, 4
2068, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:witch, 5, 1, 1
2069, ocean, minecraft:deep_warm_ocean, MONSTER, minecraft:drowned, 10, 1, 1
2070, ocean, minecraft:deep_warm_ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
2071, ocean, minecraft:deep_warm_ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
2072, ocean, minecraft:deep_warm_ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
2073, ocean, minecraft:deep_warm_ocean, MONSTER, quark:toretoise, 80, 1, 1
2074, ocean, minecraft:deep_warm_ocean, MONSTER, quark:stoneling, 80, 1, 1
2075, ocean, minecraft:deep_warm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
2076, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
2077, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
2078, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, alexsmobs:hammerhead_shark, 10, 2, 3
2079, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, alexsmobs:mantis_shrimp, 15, 1, 4
2080, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, alexsmobs:hammerhead_shark, 10, 2, 3
2081, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, alexsmobs:mantis_shrimp, 15, 1, 4
2082, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
2083, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
2084, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, betteranimalsplus:squid_colossal, 10, 1, 1
2085, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, betteranimalsplus:squid_giant, 10, 1, 1
2086, ocean, minecraft:deep_warm_ocean, WATER_CREATURE, betteranimalsplus:octopus, 10, 1, 3
2087, ocean, minecraft:deep_warm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
2088, ocean, minecraft:deep_warm_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
2089, ocean, minecraft:deep_warm_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
2090, ocean, minecraft:deep_warm_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
2091, ocean, minecraft:deep_warm_ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
2092, ocean, minecraft:deep_warm_ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
2093, ocean, minecraft:deep_warm_ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
2094, ocean, minecraft:deep_warm_ocean, WATER_AMBIENT, betteranimalsplus:eel_saltwater, 10, 1, 3
2095, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
2096, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
2097, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
2098, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
2099, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
2100, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
2101, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 5, 1, 4
2102, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
2103, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 10, 1, 1
2104, ocean, minecraft:deep_lukewarm_ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
2105, ocean, minecraft:deep_lukewarm_ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
2106, ocean, minecraft:deep_lukewarm_ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
2107, ocean, minecraft:deep_lukewarm_ocean, MONSTER, quark:toretoise, 80, 1, 1
2108, ocean, minecraft:deep_lukewarm_ocean, MONSTER, quark:stoneling, 80, 1, 1
2109, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
2110, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
2111, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
2112, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2113, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
2114, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2115, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
2116, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
2117, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
2118, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, betteranimalsplus:squid_colossal, 10, 1, 1
2119, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, betteranimalsplus:squid_giant, 10, 1, 1
2120, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, betteranimalsplus:octopus, 10, 1, 3
2121, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
2122, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 10, 1, 3
2123, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
2124, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
2125, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
2126, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
2127, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
2128, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
2129, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
2130, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
2131, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
2132, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
2133, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
2134, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
2135, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
2136, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
2137, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
2138, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
2139, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
2140, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:enderman, 5, 1, 4
2141, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
2142, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:drowned, 10, 1, 1
2143, ocean, minecraft:deep_cold_ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
2144, ocean, minecraft:deep_cold_ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
2145, ocean, minecraft:deep_cold_ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
2146, ocean, minecraft:deep_cold_ocean, MONSTER, quark:toretoise, 80, 1, 1
2147, ocean, minecraft:deep_cold_ocean, MONSTER, quark:stoneling, 80, 1, 1
2148, ocean, minecraft:deep_cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
2149, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
2150, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, alexsmobs:orca, 10, 3, 4
2151, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2152, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
2153, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, alexsmobs:orca, 10, 3, 4
2154, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2155, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
2156, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
2157, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
2158, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, betteranimalsplus:squid_colossal, 10, 1, 1
2159, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, betteranimalsplus:squid_giant, 10, 1, 1
2160, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
2161, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
2162, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
2163, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:atlantic_cod, 10, 1, 1
2164, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:rainbow_trout, 10, 1, 2
2165, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:pink_salmon, 10, 1, 2
2166, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:pollock, 10, 1, 2
2167, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
2168, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:pacific_halibut, 10, 1, 1
2169, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
2170, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:blackfish, 13, 1, 4
2171, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
2172, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
2173, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
2174, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
2175, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
2176, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
2177, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
2178, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
2179, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
2180, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
2181, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
2182, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
2183, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
2184, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:enderman, 5, 1, 4
2185, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
2186, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:drowned, 10, 1, 1
2187, ocean, minecraft:deep_frozen_ocean, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
2188, ocean, minecraft:deep_frozen_ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
2189, ocean, minecraft:deep_frozen_ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
2190, ocean, minecraft:deep_frozen_ocean, MONSTER, quark:toretoise, 80, 1, 1
2191, ocean, minecraft:deep_frozen_ocean, MONSTER, quark:stoneling, 80, 1, 1
2192, ocean, minecraft:deep_frozen_ocean, CREATURE, minecraft:polar_bear, 10, 1, 2
2193, ocean, minecraft:deep_frozen_ocean, CREATURE, betteranimalsplus:walrus, 10, 1, 5
2194, ocean, minecraft:deep_frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
2195, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
2196, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, alexsmobs:orca, 10, 3, 4
2197, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2198, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
2199, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, alexsmobs:orca, 10, 3, 4
2200, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
2201, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
2202, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
2203, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
2204, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, betteranimalsplus:squid_colossal, 10, 1, 1
2205, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, betteranimalsplus:squid_giant, 10, 1, 1
2206, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
2207, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
2208, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_cod, 10, 1, 1
2209, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:rainbow_trout, 10, 1, 2
2210, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:pink_salmon, 10, 1, 2
2211, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:pollock, 10, 1, 2
2212, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
2213, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:pacific_halibut, 10, 1, 1
2214, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
2215, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:blackfish, 13, 1, 4
2216, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
2217, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
2218, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
2219, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
2220, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
2221, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
2222, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
2223, mesa, terraforged:bryce, MONSTER, minecraft:spider, 80, 4, 4
2224, mesa, terraforged:bryce, MONSTER, minecraft:zombie, 80, 4, 4
2225, mesa, terraforged:bryce, MONSTER, minecraft:zombie_villager, 10, 1, 1
2226, mesa, terraforged:bryce, MONSTER, minecraft:skeleton, 80, 4, 4
2227, mesa, terraforged:bryce, MONSTER, minecraft:creeper, 80, 4, 4
2228, mesa, terraforged:bryce, MONSTER, minecraft:slime, 80, 4, 4
2229, mesa, terraforged:bryce, MONSTER, minecraft:enderman, 5, 1, 4
2230, mesa, terraforged:bryce, MONSTER, minecraft:witch, 5, 1, 1
2231, mesa, terraforged:bryce, MONSTER, betterdefaultbiomes:lost_miner, 80, 1, 3
2232, mesa, terraforged:bryce, MONSTER, alexsmobs:centipede_head, 10, 1, 1
2233, mesa, terraforged:bryce, MONSTER, alexsmobs:centipede_head, 10, 1, 1
2234, mesa, terraforged:bryce, MONSTER, rats:rat_spawner, 80, 1, 3
2235, mesa, terraforged:bryce, MONSTER, rats:pied_piper, 10, 1, 1
2236, mesa, terraforged:bryce, MONSTER, tconstruct:earth_slime, 80, 2, 4
2237, mesa, terraforged:bryce, MONSTER, tconstruct:sky_slime, 80, 2, 4
2238, mesa, terraforged:bryce, MONSTER, quark:toretoise, 80, 1, 1
2239, mesa, terraforged:bryce, MONSTER, quark:stoneling, 80, 1, 1
2240, mesa, terraforged:bryce, MONSTER, betteranimalsplus:tarantula, 40, 1, 3
2241, mesa, terraforged:bryce, CREATURE, exoticbirds:roadrunner, 10, 2, 5
2242, mesa, terraforged:bryce, CREATURE, exoticbirds:gouldianfinch, 10, 2, 5
2243, mesa, terraforged:bryce, CREATURE, alexsmobs:roadrunner, 10, 2, 2
2244, mesa, terraforged:bryce, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
2245, mesa, terraforged:bryce, CREATURE, alexsmobs:komodo_dragon, 10, 1, 2
2246, mesa, terraforged:bryce, CREATURE, alexsmobs:emu, 20, 2, 5
2247, mesa, terraforged:bryce, CREATURE, alexsmobs:kangaroo, 25, 3, 5
2248, mesa, terraforged:bryce, CREATURE, alexsmobs:roadrunner, 10, 2, 2
2249, mesa, terraforged:bryce, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
2250, mesa, terraforged:bryce, CREATURE, alexsmobs:komodo_dragon, 10, 1, 2
2251, mesa, terraforged:bryce, CREATURE, alexsmobs:emu, 20, 2, 5
2252, mesa, terraforged:bryce, CREATURE, alexsmobs:kangaroo, 25, 3, 5
2253, mesa, terraforged:bryce, CREATURE, betteranimalsplus:coyote, 10, 1, 6
2254, mesa, terraforged:bryce, AMBIENT, minecraft:bat, 10, 8, 8
2255, mesa, terraforged:bryce, AMBIENT, alexsmobs:fly, 10, 2, 3
2256, mesa, terraforged:bryce, AMBIENT, alexsmobs:cockroach, 10, 5, 5
2257, mesa, terraforged:bryce, AMBIENT, alexsmobs:fly, 10, 2, 3
2258, mesa, terraforged:bryce, AMBIENT, alexsmobs:cockroach, 10, 5, 5
2259, mesa, terraforged:bryce, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 6
2260, mesa, terraforged:bryce, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
2261, mesa, terraforged:bryce, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
2262, mesa, terraforged:bryce, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
2263, taiga, terraforged:cold_steppe, MONSTER, minecraft:spider, 80, 4, 4
2264, taiga, terraforged:cold_steppe, MONSTER, minecraft:zombie_villager, 10, 1, 1
2265, taiga, terraforged:cold_steppe, MONSTER, minecraft:skeleton, 80, 4, 4
2266, taiga, terraforged:cold_steppe, MONSTER, minecraft:creeper, 80, 4, 4
2267, taiga, terraforged:cold_steppe, MONSTER, minecraft:slime, 80, 4, 4
2268, taiga, terraforged:cold_steppe, MONSTER, minecraft:enderman, 5, 1, 4
